batch_size,learning_rate,rank,alpha,parameters,trainable_parameters,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second
8,0.0001,2,2,4388226,2048,23.6391,620.667,77.668,2622602779104.0,0.00159060642577724,4.0,4.5043511390686035,0.7107843137254902,0.802013422818792,1.4657,278.366,34.796
8,5e-05,2,2,4388226,2048,24.5496,597.647,74.787,2622602779104.0,0.0016574630501613118,4.0,4.484429359436035,0.7107843137254902,0.802013422818792,1.5123,269.791,33.724
8,3e-05,2,2,4388226,2048,24.7363,593.136,74.223,2622602779104.0,0.0016854086034568047,4.0,4.478892803192139,0.7132352941176471,0.8040201005025126,1.4962,272.695,34.087
16,0.0003,2,2,4388226,2048,16.2292,904.051,56.688,2773841181888.0,0.002847694054893825,4.0,4.493786811828613,0.7132352941176471,0.8040201005025126,1.3647,298.964,19.052
16,0.0001,2,2,4388226,2048,16.2013,905.606,56.786,2773841181888.0,0.0021368853099968123,4.0,4.476401329040527,0.7156862745098039,0.8060200668896321,1.3862,294.321,18.756
16,5e-05,2,2,4388226,2048,16.504,888.995,55.744,2773841181888.0,0.0020926059669126636,4.0,4.477901458740234,0.7132352941176471,0.8040201005025126,1.3507,302.066,19.249
16,3e-05,2,2,4388226,2048,16.7993,873.372,54.764,2773841181888.0,0.0020885056532595468,4.0,4.477921009063721,0.7132352941176471,0.8040201005025126,1.3581,300.418,19.144
32,0.0003,2,2,4388226,2048,12.782,1147.868,35.988,2919802898544.0,0.001336020360822263,4.0,4.563533306121826,0.7156862745098039,0.8060200668896321,1.3591,300.2,9.565
32,0.0001,2,2,4388226,2048,12.8233,1144.164,35.872,2919802898544.0,0.0013667630112689474,4.0,4.505892276763916,0.7107843137254902,0.802013422818792,1.3377,305.003,9.718
32,5e-05,2,2,4388226,2048,12.7684,1149.089,36.026,2919802898544.0,0.0013843243536741836,4.0,4.490497589111328,0.7132352941176471,0.8040201005025126,1.3116,311.069,9.912
32,3e-05,2,2,4388226,2048,12.9337,1134.4,35.566,2919802898544.0,0.0013759447180706522,4.0,4.483896255493164,0.7132352941176471,0.8040201005025126,1.3195,309.203,9.852
64,0.0003,2,2,4388226,2048,10.867,1350.14,21.349,3050752493040.0,0.0006874266626506016,4.0,4.538500785827637,0.7156862745098039,0.8073089700996677,1.3638,299.165,5.133
64,0.0001,2,2,4388226,2048,10.9025,1345.752,21.28,3050752493040.0,0.0008341102250691118,4.0,4.488072872161865,0.7181372549019608,0.8086522462562395,1.307,312.174,5.356
64,5e-05,2,2,4388226,2048,10.813,1356.891,21.456,3050752493040.0,0.0008596371987770343,4.0,4.480207443237305,0.7132352941176471,0.8040201005025126,1.3131,310.717,5.331
64,3e-05,2,2,4388226,2048,10.7507,1364.749,21.58,3050752493040.0,0.0008688212597164614,4.0,4.47769021987915,0.7132352941176471,0.8040201005025126,1.5162,269.091,4.617
128,0.0003,2,2,4388226,2048,9.9569,1473.553,11.65,3184195795536.0,0.0012593038123229455,4.0,4.506410121917725,0.7107843137254902,0.802013422818792,1.3098,311.503,3.054
128,0.0001,2,2,4388226,2048,9.5794,1531.627,12.109,3184195795536.0,0.0011098396418423489,4.0,4.480541229248047,0.7107843137254902,0.802675585284281,1.2964,314.718,3.085
128,5e-05,2,2,4388226,2048,9.8832,1484.544,11.737,3184195795536.0,0.0010674542522635952,4.0,4.476856708526611,0.7132352941176471,0.8040201005025126,1.3369,305.177,2.992
128,3e-05,2,2,4388226,2048,9.9037,1481.467,11.713,3184195795536.0,0.0010507020071662705,4.0,4.475688934326172,0.7132352941176471,0.8040201005025126,1.3346,305.707,2.997
8,0.0003,2,4,4388226,2048,25.8626,567.306,70.991,2622602779104.0,0.0033147678769362,4.0,4.398001194000244,0.7009803921568627,0.7973421926910299,1.4399,283.356,35.42
8,0.0001,2,4,4388226,2048,25.5843,573.476,71.763,2622602779104.0,0.0013129549113169215,4.0,4.535155773162842,0.7034313725490197,0.7966386554621848,1.4607,279.327,34.916
8,5e-05,2,4,4388226,2048,25.5681,573.84,71.808,2622602779104.0,0.0015802694675319854,4.0,4.504641532897949,0.7107843137254902,0.802013422818792,1.4821,275.293,34.412
8,3e-05,2,4,4388226,2048,25.6686,571.592,71.527,2622602779104.0,0.0016450179874702216,4.0,4.48969030380249,0.7107843137254902,0.802013422818792,1.5522,262.847,32.856
16,0.0003,2,4,4388226,2048,16.7539,875.738,54.913,2773841181888.0,0.003072829868482507,4.0,4.58967924118042,0.7034313725490197,0.7973199329983249,1.4719,277.193,17.664
