rank,alpha,batch_size,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_parameters,trainable_parameters
2,2,64,0.0001,27.4673,534.163,8.446,0.630682451971646,4.0,0.6162707805633545,0.6838235294117647,0.8122270742358079,0.8355,488.324,8.378,28781058,16384
2,2,64,5e-05,27.625,531.113,8.398,0.6412163438468144,4.0,0.627104640007019,0.6838235294117647,0.8122270742358079,0.8065,505.904,8.68,28781058,16384
2,2,64,3e-05,27.4184,535.114,8.461,0.6477963020061624,4.0,0.6333656907081604,0.6838235294117647,0.8122270742358079,0.8376,487.101,8.357,28781058,16384
2,2,128,0.0003,27.5876,531.832,4.205,0.6204360435748922,4.0,0.6008421182632446,0.6838235294117647,0.8122270742358079,0.8361,487.996,4.784,28781058,16384
2,2,128,0.0001,27.6663,530.321,4.193,0.6403069989434604,4.0,0.6247678399085999,0.6838235294117647,0.8122270742358079,1.0044,406.203,3.982,28781058,16384
2,2,128,5e-05,27.8191,527.408,4.17,0.6493169192610115,4.0,0.6332820653915405,0.6838235294117647,0.8122270742358079,0.8436,483.613,4.741,28781058,16384
2,2,128,3e-05,27.7648,528.439,4.178,0.6568185872045057,4.0,0.6427529454231262,0.6838235294117647,0.8122270742358079,0.8173,499.196,4.894,28781058,16384
2,4,8,0.0003,33.2236,441.614,55.262,0.5654711422057972,4.0,0.5293002128601074,0.75,0.8375796178343949,0.867,470.593,58.824,28781058,16384
2,4,8,0.0001,33.2811,440.85,55.166,0.5853783684358618,4.0,0.5552257299423218,0.7279411764705882,0.8320726172465961,0.8525,478.606,59.826,28781058,16384
2,4,8,5e-05,35.6345,411.735,51.523,0.6045936800555726,4.0,0.582686185836792,0.6911764705882353,0.8157894736842105,0.8711,468.374,58.547,28781058,16384
2,4,8,3e-05,33.0974,443.298,55.473,0.6179977948888974,4.0,0.6016492247581482,0.6838235294117647,0.8122270742358079,0.8625,473.045,59.131,28781058,16384
2,4,16,0.0003,28.4816,515.14,32.302,0.5672688691512399,4.0,0.5181449055671692,0.7303921568627451,0.8270440251572327,0.8297,491.765,31.338,28781058,16384
2,4,16,0.0001,28.3845,516.901,32.412,0.5992589535920516,4.0,0.5731086730957031,0.7058823529411765,0.8198198198198198,0.8193,497.993,31.735,28781058,16384
2,4,16,5e-05,28.7781,509.833,31.969,0.6150867130445398,4.0,0.5956705808639526,0.6838235294117647,0.8122270742358079,0.9878,413.038,26.321,28781058,16384
2,4,16,3e-05,28.8926,507.813,31.842,0.6260618458623471,4.0,0.6106386184692383,0.6838235294117647,0.8122270742358079,0.9942,410.38,26.152,28781058,16384
2,4,32,0.0003,27.7544,528.638,16.574,0.5842856365701427,4.0,0.5429807901382446,0.7181372549019608,0.8217054263565892,1.143,356.955,11.374,28781058,16384
2,4,32,0.0001,28.1355,521.477,16.349,0.6096424932065218,4.0,0.5853556990623474,0.696078431372549,0.8176470588235294,1.0011,407.538,12.985,28781058,16384
2,4,32,5e-05,28.0898,522.324,16.376,0.6254058174465014,4.0,0.6074800491333008,0.6838235294117647,0.8122270742358079,0.9836,414.788,13.216,28781058,16384
2,4,32,3e-05,28.0579,522.918,16.395,0.6350608493970789,4.0,0.6192421913146973,0.6838235294117647,0.8122270742358079,0.877,465.202,14.823,28781058,16384
2,4,64,0.0003,27.9305,525.303,8.306,0.5910743187213766,4.0,0.56132572889328,0.7132352941176471,0.8213740458015267,0.9857,413.903,7.101,28781058,16384
2,4,64,0.0001,27.5937,531.716,8.408,0.6167237511996565,4.0,0.5970646739006042,0.6838235294117647,0.8122270742358079,0.8266,493.576,8.468,28781058,16384
2,4,64,5e-05,27.7516,528.69,8.36,0.6311956602951576,4.0,0.617063581943512,0.6838235294117647,0.8122270742358079,1.1348,359.519,6.168,28781058,16384
2,4,64,3e-05,27.5519,532.523,8.42,0.6391291782773775,4.0,0.625135064125061,0.6838235294117647,0.8122270742358079,0.8294,491.936,8.44,28781058,16384
